catalogue,category,treatment,slug,slot,sort_order,url,storage,duplicate_count,issue
treatment,"Injectables","Skin Boosters","skin-boosters",HERO,0,"https://images.unsplash.com/photo-1552256031-811fa8f0a7b1?auto=format&fit=crop&w=1400&q=80",external,1,"no result images"
treatment,"Injectables","Skin Boosters","skin-boosters",GALLERY,0,"https://blu-derma.s3.ap-south-1.amazonaws.com/bluderma/treatments/skin-boosters/skin-boosters-gallery-0-c1290849e78d.avif",s3,1,""
treatment,"Injectables","Skin Boosters","skin-boosters",GALLERY,1,"https://blu-derma.s3.ap-south-1.amazonaws.com/bluderma/treatments/skin-boosters/skin-boosters-gallery-1-83108e3b94a7.avif",s3,1,""
treatment,"Injectables","Skin Boosters","skin-boosters",GALLERY,2,"https://blu-derma.s3.ap-south-1.amazonaws.com/bluderma/treatments/skin-boosters/skin-boosters-gallery-2-e521801108b2.avif",s3,1,""
treatment,"Injectables","Anti-Wrinkle (Botulinum Toxin)","botox",HERO,0,"https://images.unsplash.com/photo-1746708810803-722593e53772?auto=format&fit=crop&w=1400&q=80",external,1,"no result images"
treatment,"Injectables","Anti-Wrinkle (Botulinum Toxin)","botox",GALLERY,0,"https://blu-derma.s3.ap-south-1.amazonaws.com/bluderma/treatments/botox/botox-gallery-0-9637fc7a3c0e.avif",s3,1,""
treatment,"Injectables","Anti-Wrinkle (Botulinum Toxin)","botox",GALLERY,1,"https://blu-derma.s3.ap-south-1.amazonaws.com/bluderma/treatments/botox/botox-gallery-1-0444884c4fbe.avif",s3,1,""
treatment,"Injectables","Anti-Wrinkle (Botulinum Toxin)","botox",GALLERY,2,"https://blu-derma.s3.ap-south-1.amazonaws.com/bluderma/treatments/botox/botox-gallery-2-80e55d9a6340.avif",s3,1,""
treatment,"Injectables","Dermal Fillers","dermal-fillers",HERO,0,"https://images.unsplash.com/photo-1746017062285-13c77e29fc25?auto=format&fit=crop&w=1400&q=80",external,1,"no result images"
treatment,"Injectables","Dermal Fillers","dermal-fillers",GALLERY,0,"https://blu-derma.s3.ap-south-1.amazonaws.com/bluderma/treatments/dermal-fillers/dermal-fillers-gallery-0-c8ab68c8e547.avif",s3,1,""
